cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant,
43,t,smart,adj,cvcc,i,coronal,stop,cc,fínn,fitn̥,yes,0,6,6,26,space,2.16971111298,,,2016_Jun_21_1140,None,icelandic,jr06,
43,t,smart,adj,cvcc,i,coronal,stop,cc,fínn,fitn̥,yes,0,6,6,26,space,2.03624391556,,,2016_Jun_21_1140,None,icelandic,jr06,
33,m̥,comb,v,cvcc,e,labial,nasal,cc,kembt,kem̥t,yes,0,7,7,24,space,3.43773508072,,,2016_Jun_21_1140,None,icelandic,jr06,
33,m̥,comb,v,cvcc,e,labial,nasal,cc,kembt,kem̥t,yes,0,7,7,24,space,2.16974115372,,,2016_Jun_21_1140,None,icelandic,jr06,
33,m̥,comb,v,cvcc,e,labial,nasal,cc,kembt,kem̥t,yes,0,7,7,24,space,1.91947484016,,,2016_Jun_21_1140,None,icelandic,jr06,
20,ʰt,put,v,cvcc,e,coronal,stop,cc,sett,seʰt,yes,0,8,8,15,space,2.65332889557,,,2016_Jun_21_1140,None,icelandic,jr06,
20,ʰt,put,v,cvcc,e,coronal,stop,cc,sett,seʰt,yes,0,8,8,15,space,2.41989898682,,,2016_Jun_21_1140,None,icelandic,jr06,
20,ʰt,put,v,cvcc,e,coronal,stop,cc,sett,seʰt,yes,0,8,8,15,space,2.07031583786,,,2016_Jun_21_1140,None,icelandic,jr06,
58,ʰp,cable,n,cvccv,a,labial,stop,ccv,kapli,kaʰplɪ,yes,0,9,9,54,space,4.63762998581,,,2016_Jun_21_1140,None,icelandic,jr06,
58,ʰp,cable,n,cvccv,a,labial,stop,ccv,kapli,kaʰplɪ,yes,0,9,9,54,space,2.11956310272,,,2016_Jun_21_1140,None,icelandic,jr06,
58,ʰp,cable,n,cvccv,a,labial,stop,ccv,kapli,kaʰplɪ,yes,0,9,9,54,space,1.8207051754,,,2016_Jun_21_1140,None,icelandic,jr06,
31,n̥,decoration,n,cvnc,ʏ,coronal,nasal,cc,punt,pʰʏn̥t,yes,0,10,10,22,space,3.42043209076,,,2016_Jun_21_1140,None,icelandic,jr06,
31,n̥,decoration,n,cvnc,ʏ,coronal,nasal,cc,punt,pʰʏn̥t,yes,0,10,10,22,space,1.65287780762,,,2016_Jun_21_1140,None,icelandic,jr06,
31,n̥,decoration,n,cvnc,ʏ,coronal,nasal,cc,punt,pʰʏn̥t,yes,0,10,10,22,space,1.63622498512,,,2016_Jun_21_1140,None,icelandic,jr06,
21,s,fat,adj,cvvcc,ei,coronal,stop,cc,feits,feiss,no,0,11,11,16,space,4.95288300514,,,2016_Jun_21_1140,None,icelandic,jr06,
21,s,fat,adj,cvvcc,ei,coronal,stop,cc,feits,feiss,no,0,11,11,16,space,3.23742008209,,,2016_Jun_21_1140,None,icelandic,jr06,
21,s,fat,adj,cvvcc,ei,coronal,stop,cc,feits,feiss,no,0,11,11,16,space,3.15354585648,,,2016_Jun_21_1140,None,icelandic,jr06,
55,p,navel,n,cvccv,a,labial,stop,ccv,nafla,napla,no,0,12,12,51,space,2.90344285965,,,2016_Jun_21_1140,None,icelandic,jr06,
55,p,navel,n,cvccv,a,labial,stop,ccv,nafla,napla,no,0,12,12,51,space,2.21988606453,,,2016_Jun_21_1140,None,icelandic,jr06,
55,p,navel,n,cvccv,a,labial,stop,ccv,nafla,napla,no,0,12,12,51,space,1.55274915695,,,2016_Jun_21_1140,None,icelandic,jr06,
47,l̥,bark,v,cvlcv,e,coronal,lateral,ccv,gelta,kel̥ta,yes,0,13,13,57,space,3.47045302391,,,2016_Jun_21_1140,None,icelandic,jr06,
47,l̥,bark,v,cvlcv,e,coronal,lateral,ccv,gelta,kel̥ta,yes,0,13,13,57,space,2.23650193214,,,2016_Jun_21_1140,None,icelandic,jr06,
47,l̥,bark,v,cvlcv,e,coronal,lateral,ccv,gelta,kel̥ta,yes,0,13,13,57,space,2.5865240097,,,2016_Jun_21_1140,None,icelandic,jr06,
34,m,comb,v,cvccv,e,labial,nasal,cc,kembdi,kemtɪ,no,0,14,14,25,space,3.62037992477,,,2016_Jun_21_1140,None,icelandic,jr06,
34,m,comb,v,cvccv,e,labial,nasal,cc,kembdi,kemtɪ,no,0,14,14,25,space,1.9028878212,,,2016_Jun_21_1140,None,icelandic,jr06,
34,m,comb,v,cvccv,e,labial,nasal,cc,kembdi,kemtɪ,no,0,14,14,25,space,1.88620400429,,,2016_Jun_21_1140,None,icelandic,jr06,
50,r,scream,n,vrcv,o,coronal,rhotic,ccv,orga,orka,no,0,15,15,46,space,63.0831360817,,,2016_Jun_21_1140,None,icelandic,jr06,
50,r,scream,n,vrcv,o,coronal,rhotic,ccv,orga,orka,no,0,15,15,46,space,2.08660197258,,,2016_Jun_21_1140,None,icelandic,jr06,
